"year_id","mx","ax","qx","n","px","lx","dx","nLx","Tx","ex","age","location_name","sex"
2003,0.0102279257323227,1.35229432582855,0.0398330037963042,4,0.960166996203696,91757.4268861063,3654.97393349337,357352.412321766,5077087.45752909,55.3316241510457,"1","Haiti","male"
2004,0.00904421868049532,1.35189282894135,0.0353307022705891,4,0.964669297729411,92836.2900006164,3279.97132191784,362659.444424028,5083307.40554829,54.7556069454578,"1","Haiti","male"
2005,0.0084236707251794,1.35229706764221,0.0329595730938254,4,0.967040426906175,93196.4591890334,3071.71550872666,364652.846596309,5213847.31210755,55.9446931511865,"1","Haiti","male"
2006,0.00777946577241034,1.35209095478058,0.0304897941311128,4,0.969510205868887,93422.9110714299,2848.44532569715,366149.220142993,5263427.50686932,56.3397933815718,"1","Haiti","male"
2007,0.00780039029748381,1.35195100307465,0.0305701106189731,4,0.969429889381027,93346.9367551662,2853.62618254771,365831.20507037,5283169.82666099,56.5971419128394,"1","Haiti","male"
2008,0.00731580607741004,1.35179030895233,0.0287070598030653,4,0.971292940196935,93559.8182522724,2685.8272977319,367126.639130756,5308347.72854125,56.7374737115024,"1","Haiti","male"
2009,0.00685484285422688,1.35200536251068,0.0269305393851019,4,0.973069460614898,93895.0244252478,2528.64365334924,368884.262866801,5366933.44315767,57.1588694503235,"1","Haiti","male"
2010,0.0157000780969375,1.35163021087646,0.0602933387260551,4,0.939706661273945,92840.9636139673,5597.69166683029,356539.096956607,3159500.72267492,34.0313219476278,"1","Haiti","male"
2011,0.0064851008451264,1.3524489402771,0.0255025341616922,4,0.974497465838308,93435.8345594435,2382.85056277842,367434.619705129,5382222.24093981,57.6034052279552,"1","Haiti","male"
2012,0.00589985509907537,1.35155248641968,0.0232363419444578,4,0.976763658055542,93718.6803094539,2177.67930225379,369107.251904386,5477639.9004208,58.4476849474826,"1","Haiti","male"
2013,0.00494753213162048,1.3520176410675,0.0195342112583523,4,0.980465788741648,94105.4442115733,1838.27562778996,371554.05541305,5601983.0349337,59.5287879661775,"1","Haiti","male"
2014,0.00455481976185782,1.35108578205109,0.0180020780916831,4,0.981997921908317,94173.65673426,1695.32152270951,372203.86565154,5710292.58320515,60.6357741774698,"1","Haiti","male"
2015,0.00436617093820021,1.35078585147858,0.0172649810665058,4,0.982735018933494,93628.8007472912,1616.49947218162,370232.749716384,5781579.41421429,61.7500103394367,"1","Haiti","male"
2016,0.004214391319513,1.35224676132202,0.0166715331699348,4,0.983328466830065,93377.8154358175,1556.75134737427,369389.368321443,5827590.21888891,62.4087230108147,"1","Haiti","male"
1970,0.00346680007100245,2.49961421614227,0.017185034672579,5,0.982814965327421,73262.1690317456,1259.01291499889,363162.827164371,3891771.28717694,53.1211584179357,"5","Haiti","both"
